Trip ID,Risk Score,Risk Level,Capacity Status,Triggered Rule,Decision,Reason,Recommended Action
TRIP-00218,0.065,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00239,0.064,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00211,0.063,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00249,0.062,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00232,0.061,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00207,0.06,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00199,0.059,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00199,0.059,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00196,0.057,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00212,0.057,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00199,0.055,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00225,0.055,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00258,0.054,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00249,0.052,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00215,0.052,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00234,0.047,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00232,0.047,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00245,0.046,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00258,0.045,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00218,0.045,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00218,0.045,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00196,0.044,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00225,0.043,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00198,0.038,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00226,0.038,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00207,0.035,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00250,0.035,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00246,0.033,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00206,0.033,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00207,0.033,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00207,0.033,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00250,0.032,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00201,0.031,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00218,0.03,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00226,0.028,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00200,0.028,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00234,0.027,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00206,0.027,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00199,0.026,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00234,0.025,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00268,0.025,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00196,0.022,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00209,0.022,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00201,0.021,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00197,0.021,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00218,0.019,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00199,0.019,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00209,0.018,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00206,0.017,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00206,0.016,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00271,0.015,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00243,0.015,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00218,0.015,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00199,0.014,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00196,0.014,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00246,0.014,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00196,0.012,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00238,0.012,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00206,0.012,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00201,0.011,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00266,0.01,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00262,0.009,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00207,0.008,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00241,0.008,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00234,0.004,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00234,0.004,LOW,Insufficient,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
TRIP-00241,0.002,LOW,Available,Risk band = LOW; Low risk -> no intervention needed,KEEP DEDICATED,Risk of lateness is low; proceed as planned.,Proceed as planned
